Plot,Spec,1-h,10-h,100-h,Fine,Sound,Rotten,1000-h,Total
72,EUGA,328,629,0,957,0,0,0,957
73,EUGA,324,620,0,945,25608,0,25608,26553
51,EUGA,351,6108,0,6459,0,0,0,6459
44,EUGA,383,11341,0,11724,0,0,0,11724
80,EUGA,174,1334,0,1508,0,0,0,1508
81,EUGA,342,0,5213,5555,0,0,0,5555
82,EUGA,351,4272,4855,9478,0,0,0,9478
96,EUGA,64,3668,0,3732,0,0,0,3732
97,EUGA,399,3471,0,3870,0,0,0,3870
89,MIX_,223,1828,0,2051,0,0,0,2051
90,MIX_,479,0,2432,2911,12618,0,12618,15529
87,EUCL,95,1826,0,1922,12566,0,12566,14487
86,EUVI,127,610,0,737,12586,0,12586,13323
78,EUCA,1386,1360,5411,8157,14037,0,14037,22195
70,EUGA,250,1597,0,1847,0,0,0,1847
63,EUGA,491,1254,2494,4240,0,0,0,4240
71,EUGA,640,7090,0,7729,0,0,0,7729
74,EUGA,327,3754,0,4081,0,0,0,4081
75,EUGA,160,2445,2432,5037,0,0,0,5037
83,EUGA,161,1232,0,1393,0,0,0,1393
84,EUGA,286,1217,0,1503,0,0,0,1503
85,NONE,255,1221,0,1476,0,0,0,1476
77,NONE,223,3655,0,3877,0,0,0,3877
67,EUCA,371,1419,0,1790,29284,0,29284,31074
57,EUGA,1085,3054,12149,16288,12606,0,12606,28894
55,EUGA,174,2001,0,2176,27536,0,27536,29712
58,EUGA,255,1220,0,1475,0,0,0,1475
49,EUGA,167,1277,0,1444,13183,0,13183,14627
37,EUGA,360,6271,4989,11620,0,0,0,11620
35,EUGA,163,1873,7450,9485,0,0,0,9485
88,EUGA,860,610,0,1470,12586,0,12586,14056
76,EUVI,96,0,0,96,12578,0,12578,12674
66,EUGA,286,3042,0,3328,0,0,0,3328
65,EUGA,191,608,2420,3219,0,0,0,3219
64,EUGA,1033,4327,2459,7819,0,0,0,7819
59,EUGA,1990,15971,0,17961,0,0,0,17961
60,EUGA,455,4973,7418,12846,0,0,0,12846
61,EUGA,552,3108,7418,11078,0,0,0,11078
56,MIX_,351,1834,2432,4618,12618,0,12618,17236
45,MIX_,459,2508,0,2967,0,0,0,2967
38,EUCL,4801,6086,2421,13309,0,0,0,13309
33,EUCL,413,2434,12105,14953,87928,0,87928,102881
52,MIX_,509,6693,0,7202,12558,0,12558,19760
53,MIX_,67,3194,0,3260,0,0,0,3260
39,EUCL,100,1274,0,1374,0,0,0,1374
34,EUCL,66,5081,0,5147,0,0,0,5147
48,EUGA,636,3655,0,4291,25142,0,25142,29433
47,EUGA,701,4272,2428,7401,12596,0,12596,19997
46,EUGA,445,4867,7260,12572,37666,0,37666,50238
19,EUGA,234,1277,0,1511,0,0,0,1511
27,EUGA,429,4422,5026,9877,26077,0,26077,35954
23,EUGA,274,4586,13032,17892,81136,0,81136,99028
28,EUGA,668,7301,0,7969,0,0,0,7969
29,EUGA,478,5492,2428,8398,0,0,0,8398
2,EUGA,700,6695,4842,12236,0,0,0,12236
1,EUGA,1028,6151,2447,9627,0,0,0,9627
17,MIX_,161,617,4909,5688,0,0,0,5688
14,MIX_,319,1222,0,1541,12606,0,12606,14147
15,EUGA,670,4882,4855,10407,12596,0,12596,23003
18,MIX_,1468,6719,0,8187,0,0,0,8187
12,MIX_,447,5497,2430,8374,12606,0,12606,20980
13,MIX_,286,2434,2421,5142,12561,0,12561,17703
3,EUGA,414,1826,0,2240,0,0,0,2240
5,EUGA,488,1869,0,2357,12856,0,12856,15213
6,EUGA,299,1905,2527,4731,26217,0,26217,30947
7,EUGA,906,6192,2463,9561,12780,0,12780,22341
8,EUGA,618,8097,0,8716,0,0,0,8716
4,EUGA,448,3063,0,3512,0,0,0,3512
11,EUGA,350,3047,2424,5822,25156,0,25156,30978
68,MIX_,248,5420,2695,8362,41945,0,41945,50307
62,MIX_,446,4873,4846,10164,12571,0,12571,22735
69,MIX_,64,1222,0,1285,0,0,0,1285
79,MIX_,524,5016,0,5541,25884,0,25884,31424
54,EUCE,450,4921,2447,7818,0,0,0,7818
50,EUGA,223,1826,0,2049,37697,0,37697,39746
43,EUGA,446,1220,0,1666,0,0,0,1666
36,NONE,351,6108,0,6459,0,0,0,6459
40,EUGA,289,1230,0,1520,0,0,0,1520
41,EUGA,446,4873,0,5318,0,0,0,5318
